Date,Open,High,Low,Close*,Adj Close**
24-Jan-11,"1,283.29","1,291.93","1,282.47","1,290.84","1,290.84"
25-Jan-11,"1,288.17","1,291.26","1,281.07","1,291.18","1,291.18"
26-Jan-11,"1,291.97","1,299.74","1,291.97","1,296.63","1,296.63"
27-Jan-11,"1,297.51","1,301.29","1,294.41","1,299.54","1,299.54"
28-Jan-11,"1,299.63","1,302.67","1,275.10","1,276.34","1,276.34"
31-Jan-11,"1,276.50","1,287.17","1,276.50","1,286.12","1,286.12"
1-Feb-11,"1,289.14","1,308.86","1,289.14","1,307.59","1,307.59"
2-Feb-11,"1,305.91","1,307.61","1,302.62","1,304.03","1,304.03"
3-Feb-11,"1,302.77","1,308.60","1,294.83","1,307.10","1,307.10"
4-Feb-11,"1,307.01","1,311.00","1,301.67","1,310.87","1,310.87"
7-Feb-11,"1,311.85","1,322.85","1,311.85","1,319.05","1,319.05"
8-Feb-11,"1,318.76","1,324.87","1,316.03","1,324.57","1,324.57"
9-Feb-11,"1,322.48","1,324.54","1,314.89","1,320.88","1,320.88"
10-Feb-11,"1,318.13","1,322.78","1,311.74","1,321.87","1,321.87"
11-Feb-11,"1,318.66","1,330.79","1,316.08","1,329.15","1,329.15"
14-Feb-11,"1,328.73","1,332.96","1,326.90","1,332.32","1,332.32"
15-Feb-11,"1,330.43","1,330.43","1,324.61","1,328.01","1,328.01"
16-Feb-11,"1,329.51","1,337.61","1,329.51","1,336.32","1,336.32"
17-Feb-11,"1,334.37","1,341.50","1,331.00","1,340.43","1,340.43"
18-Feb-11,"1,340.38","1,344.07","1,338.12","1,343.01","1,343.01"
22-Feb-11,"1,338.91","1,338.91","1,312.33","1,315.44","1,315.44"
23-Feb-11,"1,315.44","1,317.91","1,299.55","1,307.40","1,307.40"
24-Feb-11,"1,307.09","1,310.91","1,294.26","1,306.10","1,306.10"
25-Feb-11,"1,307.34","1,320.61","1,307.34","1,319.88","1,319.88"
28-Feb-11,"1,321.61","1,329.38","1,320.55","1,327.22","1,327.22"
1-Mar-11,"1,328.64","1,332.09","1,306.14","1,306.33","1,306.33"
2-Mar-11,"1,305.47","1,314.19","1,302.58","1,308.44","1,308.44"
3-Mar-11,"1,312.37","1,332.28","1,312.37","1,330.97","1,330.97"
4-Mar-11,"1,330.73","1,331.08","1,312.59","1,321.15","1,321.15"
7-Mar-11,"1,322.72","1,327.68","1,303.99","1,310.13","1,310.13"
8-Mar-11,"1,311.05","1,325.74","1,306.86","1,321.82","1,321.82"
9-Mar-11,"1,319.92","1,323.21","1,312.27","1,320.02","1,320.02"
10-Mar-11,"1,315.72","1,315.72","1,294.21","1,295.11","1,295.11"
11-Mar-11,"1,293.43","1,308.35","1,291.99","1,304.28","1,304.28"
14-Mar-11,"1,301.19","1,301.19","1,286.37","1,296.39","1,296.39"
15-Mar-11,"1,288.46","1,288.46","1,261.12","1,281.87","1,281.87"
16-Mar-11,"1,279.46","1,280.91","1,249.05","1,256.88","1,256.88"
17-Mar-11,"1,261.61","1,278.88","1,261.61","1,273.72","1,273.72"
18-Mar-11,"1,276.71","1,288.88","1,276.18","1,279.21","1,279.21"
21-Mar-11,"1,281.65","1,300.58","1,281.65","1,298.38","1,298.38"
22-Mar-11,"1,298.29","1,299.35","1,292.70","1,293.77","1,293.77"
23-Mar-11,"1,292.19","1,300.51","1,284.05","1,297.54","1,297.54"
24-Mar-11,"1,300.61","1,311.34","1,297.74","1,309.66","1,309.66"
25-Mar-11,"1,311.80","1,319.18","1,310.15","1,313.80","1,313.80"
28-Mar-11,"1,315.45","1,319.74","1,310.19","1,310.19","1,310.19"
29-Mar-11,"1,309.37","1,319.45","1,305.26","1,319.44","1,319.44"
30-Mar-11,"1,321.89","1,331.74","1,321.89","1,328.26","1,328.26"
31-Mar-11,"1,327.44","1,329.77","1,325.03","1,325.83","1,325.83"
1-Apr-11,"1,329.48","1,337.85","1,328.89","1,332.41","1,332.41"
4-Apr-11,"1,333.56","1,336.74","1,329.10","1,332.87","1,332.87"
5-Apr-11,"1,332.03","1,338.21","1,330.03","1,332.63","1,332.63"
6-Apr-11,"1,335.94","1,339.38","1,331.09","1,335.54","1,335.54"
7-Apr-11,"1,334.82","1,338.80","1,326.56","1,333.51","1,333.51"
8-Apr-11,"1,336.16","1,339.46","1,322.94","1,328.17","1,328.17"
11-Apr-11,"1,329.01","1,333.77","1,321.06","1,324.46","1,324.46"
12-Apr-11,"1,321.96","1,321.96","1,309.51","1,314.16","1,314.16"
13-Apr-11,"1,314.03","1,321.35","1,309.19","1,314.41","1,314.41"
14-Apr-11,"1,311.13","1,316.79","1,302.42","1,314.52","1,314.52"
15-Apr-11,"1,314.54","1,322.88","1,313.68","1,319.68","1,319.68"
18-Apr-11,"1,313.35","1,313.35","1,294.70","1,305.14","1,305.14"
19-Apr-11,"1,305.99","1,312.70","1,303.97","1,312.62","1,312.62"
20-Apr-11,"1,319.12","1,332.66","1,319.12","1,330.36","1,330.36"
21-Apr-11,"1,333.23","1,337.49","1,332.83","1,337.38","1,337.38"
25-Apr-11,"1,337.14","1,337.55","1,331.47","1,335.25","1,335.25"
26-Apr-11,"1,336.75","1,349.55","1,336.75","1,347.24","1,347.24"
27-Apr-11,"1,348.43","1,357.49","1,344.25","1,355.66","1,355.66"
28-Apr-11,"1,353.86","1,361.71","1,353.60","1,360.48","1,360.48"
29-Apr-11,"1,360.14","1,364.56","1,358.69","1,363.61","1,363.61"
2-May-11,"1,365.21","1,370.58","1,358.59","1,361.22","1,361.22"
3-May-11,"1,359.76","1,360.84","1,349.52","1,356.62","1,356.62"
4-May-11,"1,355.90","1,355.90","1,341.50","1,347.32","1,347.32"
5-May-11,"1,344.16","1,348.00","1,329.17","1,335.10","1,335.10"
6-May-11,"1,340.24","1,354.36","1,335.58","1,340.20","1,340.20"
9-May-11,"1,340.20","1,349.44","1,338.64","1,346.29","1,346.29"
10-May-11,"1,348.34","1,359.44","1,348.34","1,357.16","1,357.16"
11-May-11,"1,354.51","1,354.51","1,336.36","1,342.08","1,342.08"
12-May-11,"1,339.39","1,351.05","1,332.03","1,348.65","1,348.65"
13-May-11,"1,348.69","1,350.47","1,333.36","1,337.77","1,337.77"
16-May-11,"1,334.77","1,343.33","1,327.32","1,329.47","1,329.47"
17-May-11,"1,326.10","1,330.42","1,318.51","1,328.98","1,328.98"
18-May-11,"1,328.54","1,341.82","1,326.59","1,340.68","1,340.68"
19-May-11,"1,342.40","1,346.82","1,336.36","1,343.60","1,343.60"
20-May-11,"1,342.00","1,342.00","1,330.67","1,333.27","1,333.27"
23-May-11,"1,333.07","1,333.07","1,312.88","1,317.37","1,317.37"
24-May-11,"1,317.70","1,323.72","1,313.87","1,316.28","1,316.28"
25-May-11,"1,316.36","1,325.86","1,311.80","1,320.47","1,320.47"
26-May-11,"1,320.64","1,328.51","1,314.41","1,325.69","1,325.69"
27-May-11,"1,325.69","1,334.62","1,325.69","1,331.10","1,331.10"
31-May-11,"1,331.10","1,345.20","1,331.10","1,345.20","1,345.20"
1-Jun-11,"1,345.20","1,345.20","1,313.71","1,314.55","1,314.55"
2-Jun-11,"1,314.55","1,318.03","1,305.61","1,312.94","1,312.94"
3-Jun-11,"1,312.94","1,312.94","1,297.90","1,300.16","1,300.16"
6-Jun-11,"1,300.26","1,300.26","1,284.72","1,286.17","1,286.17"
7-Jun-11,"1,286.31","1,296.22","1,284.74","1,284.94","1,284.94"
8-Jun-11,"1,284.63","1,287.04","1,277.42","1,279.56","1,279.56"
9-Jun-11,"1,279.63","1,294.54","1,279.63","1,289.00","1,289.00"
10-Jun-11,"1,288.60","1,288.60","1,268.28","1,270.98","1,270.98"
13-Jun-11,"1,271.31","1,277.04","1,265.64","1,271.83","1,271.83"
14-Jun-11,"1,272.22","1,292.50","1,272.22","1,287.87","1,287.87"
15-Jun-11,"1,287.87","1,287.87","1,261.90","1,265.42","1,265.42"
16-Jun-11,"1,265.53","1,274.11","1,258.07","1,267.64","1,267.64"
17-Jun-11,"1,268.58","1,279.82","1,267.40","1,271.50","1,271.50"
20-Jun-11,"1,271.50","1,280.42","1,267.56","1,278.36","1,278.36"
21-Jun-11,"1,278.40","1,297.62","1,278.40","1,295.52","1,295.52"
22-Jun-11,"1,295.48","1,298.61","1,286.79","1,287.14","1,287.14"
23-Jun-11,"1,286.60","1,286.60","1,262.87","1,283.50","1,283.50"
24-Jun-11,"1,283.04","1,283.93","1,267.24","1,268.45","1,268.45"
27-Jun-11,"1,268.44","1,284.91","1,267.53","1,280.10","1,280.10"
28-Jun-11,"1,280.21","1,296.80","1,280.21","1,296.67","1,296.67"
29-Jun-11,"1,296.85","1,309.21","1,296.85","1,307.41","1,307.41"
30-Jun-11,"1,307.64","1,321.97","1,307.64","1,320.64","1,320.64"
1-Jul-11,"1,320.64","1,341.01","1,318.18","1,339.67","1,339.67"
5-Jul-11,"1,339.59","1,340.89","1,334.30","1,337.88","1,337.88"
6-Jul-11,"1,337.56","1,340.94","1,330.92","1,339.22","1,339.22"
7-Jul-11,"1,339.62","1,356.48","1,339.62","1,353.22","1,353.22"
8-Jul-11,"1,352.39","1,352.39","1,333.71","1,343.80","1,343.80"
11-Jul-11,"1,343.31","1,343.31","1,316.42","1,319.49","1,319.49"
12-Jul-11,"1,319.61","1,327.17","1,313.33","1,313.64","1,313.64"
13-Jul-11,"1,314.45","1,331.48","1,314.45","1,317.72","1,317.72"
14-Jul-11,"1,317.74","1,326.88","1,306.51","1,308.87","1,308.87"
15-Jul-11,"1,308.87","1,317.70","1,307.52","1,316.14","1,316.14"
18-Jul-11,"1,315.94","1,315.94","1,295.92","1,305.44","1,305.44"
19-Jul-11,"1,307.07","1,328.14","1,307.07","1,326.73","1,326.73"
20-Jul-11,"1,328.66","1,330.43","1,323.65","1,325.84","1,325.84"
21-Jul-11,"1,325.65","1,347.00","1,325.65","1,343.80","1,343.80"
22-Jul-11,"1,343.80","1,346.10","1,336.95","1,345.02","1,345.02"
25-Jul-11,"1,344.32","1,344.32","1,331.09","1,337.43","1,337.43"
26-Jul-11,"1,337.39","1,338.51","1,329.59","1,331.94","1,331.94"
27-Jul-11,"1,331.91","1,331.91","1,303.49","1,304.89","1,304.89"
28-Jul-11,"1,304.84","1,316.32","1,299.16","1,300.67","1,300.67"
29-Jul-11,"1,300.12","1,304.16","1,282.86","1,292.28","1,292.28"
1-Aug-11,"1,292.59","1,307.38","1,274.73","1,286.94","1,286.94"
2-Aug-11,"1,286.56","1,286.56","1,254.03","1,254.05","1,254.05"
3-Aug-11,"1,254.25","1,261.20","1,234.56","1,260.34","1,260.34"
4-Aug-11,"1,260.23","1,260.23","1,199.54","1,200.07","1,200.07"
5-Aug-11,"1,200.28","1,218.11","1,168.09","1,199.38","1,199.38"
8-Aug-11,"1,198.48","1,198.48","1,119.28","1,119.46","1,119.46"
9-Aug-11,"1,120.23","1,172.88","1,101.54","1,172.53","1,172.53"
10-Aug-11,"1,171.77","1,171.77","1,118.01","1,120.76","1,120.76"
11-Aug-11,"1,121.30","1,186.29","1,121.30","1,172.64","1,172.64"
12-Aug-11,"1,172.87","1,189.04","1,170.74","1,178.81","1,178.81"
15-Aug-11,"1,178.86","1,204.49","1,178.86","1,204.49","1,204.49"
16-Aug-11,"1,204.22","1,204.22","1,180.53","1,192.76","1,192.76"
17-Aug-11,"1,192.89","1,208.47","1,184.36","1,193.89","1,193.89"
18-Aug-11,"1,189.62","1,189.62","1,131.03","1,140.65","1,140.65"
19-Aug-11,"1,140.47","1,154.54","1,122.05","1,123.53","1,123.53"
22-Aug-11,"1,123.55","1,145.49","1,121.09","1,123.82","1,123.82"
23-Aug-11,"1,124.36","1,162.35","1,124.36","1,162.35","1,162.35"
24-Aug-11,"1,162.16","1,178.56","1,156.30","1,177.60","1,177.60"
25-Aug-11,"1,176.69","1,190.68","1,155.47","1,159.27","1,159.27"
26-Aug-11,"1,158.85","1,181.23","1,135.91","1,176.80","1,176.80"
29-Aug-11,"1,177.91","1,210.28","1,177.91","1,210.08","1,210.08"
30-Aug-11,"1,209.76","1,220.10","1,195.77","1,212.92","1,212.92"
31-Aug-11,"1,213.00","1,230.71","1,209.35","1,218.89","1,218.89"
1-Sep-11,"1,219.12","1,229.29","1,203.85","1,204.42","1,204.42"
2-Sep-11,"1,203.90","1,203.90","1,170.56","1,173.97","1,173.97"
6-Sep-11,"1,173.97","1,173.97","1,140.13","1,165.24","1,165.24"
7-Sep-11,"1,165.85","1,198.62","1,165.85","1,198.62","1,198.62"
8-Sep-11,"1,197.98","1,204.40","1,183.34","1,185.90","1,185.90"
9-Sep-11,"1,185.37","1,185.37","1,148.37","1,154.23","1,154.23"
12-Sep-11,"1,153.50","1,162.52","1,136.07","1,162.27","1,162.27"
13-Sep-11,"1,162.59","1,176.41","1,157.44","1,172.87","1,172.87"
14-Sep-11,"1,173.32","1,202.38","1,162.73","1,188.68","1,188.68"
15-Sep-11,"1,189.44","1,209.11","1,189.44","1,209.11","1,209.11"
16-Sep-11,"1,209.21","1,220.06","1,204.46","1,216.01","1,216.01"
19-Sep-11,"1,214.99","1,214.99","1,188.36","1,204.09","1,204.09"
20-Sep-11,"1,204.50","1,220.39","1,201.29","1,202.09","1,202.09"
21-Sep-11,"1,203.63","1,206.30","1,166.21","1,166.76","1,166.76"
22-Sep-11,"1,164.55","1,164.55","1,114.22","1,129.56","1,129.56"
23-Sep-11,"1,128.82","1,141.72","1,121.36","1,136.43","1,136.43"
26-Sep-11,"1,136.91","1,164.19","1,131.07","1,162.95","1,162.95"
27-Sep-11,"1,163.32","1,195.86","1,163.32","1,175.38","1,175.38"
28-Sep-11,"1,175.39","1,184.71","1,150.40","1,151.06","1,151.06"
29-Sep-11,"1,151.74","1,175.87","1,139.93","1,160.40","1,160.40"
30-Sep-11,"1,159.93","1,159.93","1,131.34","1,131.42","1,131.42"
3-Oct-11,"1,131.21","1,138.99","1,098.92","1,099.23","1,099.23"
4-Oct-11,"1,097.42","1,125.12","1,074.77","1,123.95","1,123.95"
5-Oct-11,"1,124.03","1,146.07","1,115.68","1,144.03","1,144.03"
6-Oct-11,"1,144.11","1,165.55","1,134.95","1,164.97","1,164.97"
7-Oct-11,"1,165.03","1,171.40","1,150.26","1,155.46","1,155.46"
10-Oct-11,"1,158.15","1,194.91","1,158.15","1,194.89","1,194.89"
11-Oct-11,"1,194.60","1,199.24","1,187.30","1,195.54","1,195.54"
12-Oct-11,"1,196.19","1,220.25","1,196.19","1,207.25","1,207.25"
13-Oct-11,"1,206.96","1,207.46","1,190.58","1,203.66","1,203.66"
14-Oct-11,"1,205.65","1,224.61","1,205.65","1,224.58","1,224.58"
17-Oct-11,"1,224.47","1,224.47","1,198.55","1,200.86","1,200.86"
18-Oct-11,"1,200.75","1,233.10","1,191.48","1,225.38","1,225.38"
19-Oct-11,"1,223.46","1,229.64","1,206.31","1,209.88","1,209.88"
20-Oct-11,"1,209.92","1,219.53","1,197.34","1,215.39","1,215.39"
21-Oct-11,"1,215.39","1,239.03","1,215.39","1,238.25","1,238.25"
24-Oct-11,"1,238.72","1,256.55","1,238.72","1,254.19","1,254.19"
25-Oct-11,"1,254.19","1,254.19","1,226.79","1,229.05","1,229.05"
26-Oct-11,"1,229.17","1,246.28","1,221.06","1,242.00","1,242.00"
27-Oct-11,"1,243.97","1,292.66","1,243.97","1,284.59","1,284.59"
28-Oct-11,"1,284.39","1,287.08","1,277.01","1,285.09","1,285.09"
31-Oct-11,"1,284.96","1,284.96","1,253.16","1,253.30","1,253.30"
1-Nov-11,"1,251.00","1,251.00","1,215.42","1,218.28","1,218.28"
2-Nov-11,"1,219.62","1,242.48","1,219.62","1,237.90","1,237.90"
3-Nov-11,"1,238.25","1,263.21","1,234.81","1,261.15","1,261.15"
4-Nov-11,"1,260.82","1,260.82","1,238.92","1,253.23","1,253.23"
7-Nov-11,"1,253.21","1,261.70","1,240.75","1,261.12","1,261.12"
8-Nov-11,"1,261.12","1,277.55","1,254.99","1,275.92","1,275.92"
9-Nov-11,"1,275.18","1,275.18","1,226.64","1,229.10","1,229.10"
10-Nov-11,"1,229.59","1,246.22","1,227.70","1,239.70","1,239.70"
11-Nov-11,"1,240.12","1,266.98","1,240.12","1,263.85","1,263.85"
14-Nov-11,"1,263.85","1,263.85","1,246.68","1,251.78","1,251.78"
15-Nov-11,"1,251.70","1,264.25","1,244.34","1,257.81","1,257.81"
16-Nov-11,"1,257.81","1,259.61","1,235.67","1,236.91","1,236.91"
17-Nov-11,"1,236.56","1,237.73","1,209.43","1,216.13","1,216.13"
18-Nov-11,"1,216.19","1,223.51","1,211.36","1,215.65","1,215.65"
21-Nov-11,"1,215.62","1,215.62","1,183.16","1,192.98","1,192.98"
22-Nov-11,"1,192.98","1,196.81","1,181.65","1,188.04","1,188.04"
23-Nov-11,"1,187.48","1,187.48","1,161.79","1,161.79","1,161.79"
25-Nov-11,"1,161.41","1,172.66","1,158.66","1,158.67","1,158.67"
28-Nov-11,"1,158.67","1,197.35","1,158.67","1,192.55","1,192.55"
29-Nov-11,"1,192.56","1,203.67","1,191.80","1,195.19","1,195.19"
30-Nov-11,"1,196.72","1,247.11","1,196.72","1,246.96","1,246.96"
1-Dec-11,"1,246.91","1,251.09","1,239.73","1,244.58","1,244.58"
2-Dec-11,"1,246.03","1,260.08","1,243.35","1,244.28","1,244.28"
5-Dec-11,"1,244.33","1,266.73","1,244.33","1,257.08","1,257.08"
6-Dec-11,"1,257.19","1,266.03","1,253.03","1,258.47","1,258.47"
7-Dec-11,"1,258.14","1,267.06","1,244.80","1,261.01","1,261.01"
8-Dec-11,"1,260.87","1,260.87","1,231.47","1,234.35","1,234.35"
9-Dec-11,"1,234.48","1,258.25","1,234.48","1,255.19","1,255.19"
12-Dec-11,"1,255.05","1,255.05","1,227.25","1,236.47","1,236.47"
13-Dec-11,"1,236.83","1,249.86","1,219.43","1,225.73","1,225.73"
14-Dec-11,"1,225.73","1,225.73","1,209.47","1,211.82","1,211.82"
15-Dec-11,"1,212.12","1,225.60","1,212.12","1,215.75","1,215.75"
16-Dec-11,"1,216.09","1,231.04","1,215.20","1,219.66","1,219.66"
19-Dec-11,"1,219.74","1,224.57","1,202.37","1,205.35","1,205.35"
20-Dec-11,"1,205.72","1,242.82","1,205.72","1,241.30","1,241.30"
21-Dec-11,"1,241.25","1,245.09","1,229.51","1,243.72","1,243.72"
22-Dec-11,"1,243.72","1,255.22","1,243.72","1,254.00","1,254.00"
23-Dec-11,"1,254.00","1,265.42","1,254.00","1,265.33","1,265.33"
27-Dec-11,"1,265.02","1,269.37","1,262.30","1,265.43","1,265.43"
28-Dec-11,"1,265.38","1,265.85","1,248.64","1,249.64","1,249.64"
29-Dec-11,"1,249.75","1,263.54","1,249.75","1,263.02","1,263.02"
30-Dec-11,"1,262.82","1,264.12","1,257.46","1,257.60","1,257.60"
3-Jan-12,"1,258.86","1,284.62","1,258.86","1,277.06","1,277.06"
4-Jan-12,"1,277.03","1,278.73","1,268.10","1,277.30","1,277.30"
5-Jan-12,"1,277.30","1,283.05","1,265.26","1,281.06","1,281.06"
6-Jan-12,"1,280.93","1,281.84","1,273.34","1,277.81","1,277.81"
9-Jan-12,"1,277.83","1,281.99","1,274.55","1,280.70","1,280.70"
10-Jan-12,"1,280.77","1,296.46","1,280.77","1,292.08","1,292.08"
11-Jan-12,"1,292.02","1,293.80","1,285.41","1,292.48","1,292.48"
12-Jan-12,"1,292.48","1,296.82","1,285.77","1,295.50","1,295.50"
13-Jan-12,"1,294.82","1,294.82","1,277.58","1,289.09","1,289.09"
17-Jan-12,"1,290.22","1,303.00","1,290.22","1,293.67","1,293.67"
18-Jan-12,"1,293.65","1,308.11","1,290.99","1,308.04","1,308.04"
19-Jan-12,"1,308.07","1,315.49","1,308.07","1,314.50","1,314.50"
20-Jan-12,"1,314.49","1,315.38","1,309.17","1,315.38","1,315.38"
23-Jan-12,"1,315.29","1,322.28","1,309.89","1,316.00","1,316.00"
24-Jan-12,"1,315.96","1,315.96","1,306.06","1,314.65","1,314.65"
25-Jan-12,"1,314.40","1,328.30","1,307.65","1,326.06","1,326.06"
26-Jan-12,"1,326.28","1,333.47","1,313.60","1,318.43","1,318.43"
27-Jan-12,"1,318.25","1,320.06","1,311.72","1,316.33","1,316.33"
30-Jan-12,"1,316.16","1,316.16","1,300.49","1,313.01","1,313.01"
31-Jan-12,"1,313.53","1,321.41","1,306.69","1,312.41","1,312.41"
1-Feb-12,"1,312.45","1,330.52","1,312.45","1,324.09","1,324.09"
2-Feb-12,"1,324.24","1,329.19","1,321.57","1,325.54","1,325.54"
3-Feb-12,"1,326.21","1,345.34","1,326.21","1,344.90","1,344.90"
6-Feb-12,"1,344.32","1,344.36","1,337.52","1,344.33","1,344.33"
7-Feb-12,"1,344.33","1,349.24","1,335.92","1,347.05","1,347.05"
8-Feb-12,"1,347.04","1,351.00","1,341.95","1,349.96","1,349.96"
9-Feb-12,"1,349.97","1,354.32","1,344.63","1,351.95","1,351.95"
10-Feb-12,"1,351.21","1,351.21","1,337.35","1,342.64","1,342.64"
13-Feb-12,"1,343.06","1,353.35","1,343.06","1,351.77","1,351.77"
14-Feb-12,"1,351.30","1,351.30","1,340.83","1,350.50","1,350.50"
15-Feb-12,"1,350.52","1,355.87","1,340.80","1,343.23","1,343.23"
16-Feb-12,"1,342.61","1,359.02","1,341.22","1,358.04","1,358.04"
17-Feb-12,"1,358.06","1,363.40","1,357.24","1,361.23","1,361.23"
21-Feb-12,"1,361.22","1,367.76","1,358.11","1,362.21","1,362.21"
22-Feb-12,"1,362.11","1,362.70","1,355.53","1,357.66","1,357.66"
23-Feb-12,"1,357.53","1,364.24","1,352.28","1,363.46","1,363.46"
24-Feb-12,"1,363.46","1,368.92","1,363.46","1,365.74","1,365.74"
27-Feb-12,"1,365.20","1,371.94","1,354.92","1,367.59","1,367.59"
28-Feb-12,"1,367.56","1,373.09","1,365.97","1,372.18","1,372.18"
29-Feb-12,"1,372.20","1,378.04","1,363.81","1,365.68","1,365.68"
